title,price,manufacturing_year,mileage,color,fuel,hp,type,region,url,is_amg
mercedes-benz gle 450amg coupe дистроник камери360 обдухване keyless,69990,2016,153000,черен,бензинов,367.0,купе,софия,https://www.mobile.bg/obiava-21739610929678661-mercedes-benz-gle-450amg-coupe-distronik-kameri360-obduhvane-keyless,1
mercedes-benz gle 350d coupe-amg line-9g-tronic-harmon kardon,69999,2017,189000,бял,дизелов,258.0,купе,пазарджик,https://www.mobile.bg/obiava-21732691514860984-mercedes-benz-gle-350d-coupe-amg-line-9g-tronic-harmon-kardon,1
mercedes-benz gle 43 amg coupe панорама дистр.head-up keyless cam360,78990,2017,127000,син,бензинов,367.0,купе,софия,https://www.mobile.bg/obiava-11737682127414901-mercedes-benz-gle-43-amg-coupe-panorama-distr-head-up-keyless-cam360,1
mercedes-benz gle 250 d,45500,2015,178000,черен,дизелов,204.0,джип,пловдив,https://www.mobile.bg/obiava-21705057744409616-mercedes-benz-gle-250-d,0
mercedes-benz gle 350 4matic amg * топ състояние*,46000,2016,251700,сив,бензинов,307.0,джип,софия,https://www.mobile.bg/obiava-21725807501288193-mercedes-benz-gle-350-4matic-amg-top-sastoyanie,1
mercedes-benz gle 350 amg/panorama/360-kamera/kylessgo/собствен лизинг,46000,2019,202000,сребърен,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21737377415345039-mercedes-benz-gle-350-amg-panorama-360-kamera-kylessgo-sobstven-lizing,1
mercedes-benz gle 350 4matic* 63 amg optic* camera,49900,2016,166000,бял,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21709150903677660-mercedes-benz-gle-350-4matic-63-amg-optic-camera,1
mercedes-benz gle 350 amg line/9g/germany/подгрев/sign assyst/auto h/liz,49900,2016,180878,черен,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21732286564113018-mercedes-benz-gle-350-amg-line-9g-germany-podgrev-sign-assyst-auto-h-liz,1
mercedes-benz gle 350 * amg* bi turbo * 4 matic*,49900,2016,171900,бял,бензинов,302.0,джип,бургас,https://www.mobile.bg/obiava-21737738778428308-mercedes-benz-gle-350-amg-bi-turbo-4-matic,1
"mercedes-benz gle 350 3, 5 cdi 4matic",54000,2016,183000,кафяв,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21738674210760028-mercedes-benz-gle-350-3-5-cdi-4matic,0
mercedes-benz gle 350 6.3amg/germany/panorama/подгрев/airmatic/led/f1/li,57000,2016,185574,черен,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21728048957285413-mercedes-benz-gle-350-6-3amg-germany-panorama-podgrev-airmatic-led-f1-li,1
mercedes-benz gle 350 amg::designo::9g tronik::panorama:distronik plus,57900,2016,196067,светло сив,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21738229841939085-mercedes-benz-gle-350-amg-designo-9g-tronik-panorama-distronik-plus,1
mercedes-benz gle 350 d 4matic,59999,2015,142123,черен,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21732283464478820-mercedes-benz-gle-350-d-4matic,0
mercedes-benz gle 350 amg 9g лизинг,61999,2017,210000,черен,дизелов,258.0,джип,бургас,https://www.mobile.bg/obiava-21732109502119889-mercedes-benz-gle-350-amg-9g-lizing,1
mercedes-benz gle 350 amg,62900,2015,151221,бял,дизелов,258.0,купе,пазарджик,https://www.mobile.bg/obiava-21732779951448134-mercedes-benz-gle-350-amg,1
mercedes-benz gle 350 coupe= amg premium-4matic= 9gtronic= black edition,63663,2018,220000,кафяв,дизелов,258.0,купе,габрово,https://www.mobile.bg/obiava-21732345909213116-mercedes-benz-gle-350-coupe-amg-premium-4matic-9gtronic-black-edition,1
mercedes-benz gle 350 amg premium подгрев = обдухване,64999,2017,169000,черен,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21739889747274218-mercedes-benz-gle-350-amg-premium-podgrev-obduhvane,1
mercedes-benz gle 350 d executive 4m,65800,2018,152837,сив,дизелов,258.0,джип,бургас,https://www.mobile.bg/obiava-21725622160555607-mercedes-benz-gle-350-d-executive-4m,0
mercedes-benz gle 350 amg-black-edition-9g-tronic-360-кам-панорама-с.кни,65999,2016,189000,черен,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21705394683619795-mercedes-benz-gle-350-amg-black-edition-9g-tronic-360-kam-panorama-s-kni,1
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,67000,2018,178521,черен,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21740475696965313-mercedes-benz-gle-350-kupe-amg-optica-start-stop-edition-sobstven-lizing,1
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,67000,2018,178521,черен,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21740474689160460-mercedes-benz-gle-350-kupe-amg-optica-start-stop-edition-sobstven-lizing,1
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,69000,2017,179554,черен,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21733317146412939-mercedes-benz-gle-350-kupe-amg-optica-start-stop-edition-sobstven-lizing,1
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,69000,2017,179545,черен,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21734100101893462-mercedes-benz-gle-350-kupe-amg-optica-start-stop-edition-sobstven-lizing,1
mercedes-benz gle 350 coupe 350/4-matic/63amg/9g-tronic/,71999,2018,177000,черен,дизелов,258.0,купе,пазарджик,https://www.mobile.bg/obiava-21740557092224316-mercedes-benz-gle-350-coupe-350-4-matic-63amg-9g-tronic,1
mercedes-benz gle 350 coupe 350/4-matic/63amg/9g-tronic/,71999,2018,177000,черен,дизелов,258.0,купе,пазарджик,https://www.mobile.bg/obiava-21740560310055265-mercedes-benz-gle-350-coupe-350-4-matic-63amg-9g-tronic,1
mercedes-benz gle 350 amg full max,71999,2017,174000,черен,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21740335065047126-mercedes-benz-gle-350-amg-full-max,1
mercedes-benz gle 350 cdi amg paket 4-matic панорама,73999,2017,173929,бял,дизелов,258.0,джип,хасково,https://www.mobile.bg/obiava-21739550954519602-mercedes-benz-gle-350-cdi-amg-paket-4-matic-panorama,1
mercedes-benz gle 350,78900,2018,237000,бял,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21739590254488561-mercedes-benz-gle-350,0
mercedes-benz gle 350 d* amg* exclusive* panorama* 360cam* harman* full,81999,2017,163656,бял,дизелов,258.0,джип,хасково,https://www.mobile.bg/obiava-21733960096762220-mercedes-benz-gle-350-d-amg-exclusive-panorama-360cam-harman-full,1
mercedes-benz gle 350 d 4matic amg line night package,98999,2019,178306,бял,дизелов,272.0,джип,софия,https://www.mobile.bg/obiava-21729665461498830-mercedes-benz-gle-350-d-4matic-amg-line-night-package,1
mercedes-benz gle 350 300d* 4 matic* airmatic* 2xamg* led* 360* head up,83900,2019,129000,черен,дизелов,245.0,джип,софия,https://www.mobile.bg/obiava-21722701131238127-mercedes-benz-gle-350-300d-4-matic-airmatic-2xamg-led-360-head-up,1
mercedes-benz gle 350 d 4matic amg line,104999,2020,158172,черен,дизелов,272.0,джип,софия,https://www.mobile.bg/obiava-21734964096988118-mercedes-benz-gle-350-d-4matic-amg-line,1
mercedes-benz gle 350 6+ 1* amg* pano* keyless* burmester* acc* 21,119000,2020,76000,черен,дизелов,272.0,джип,софия,https://www.mobile.bg/obiava-21721913092694781-mercedes-benz-gle-350-6-1-amg-pano-keyless-burmester-acc-21,1
mercedes-benz gle 350 silver star,136000,2021,42000,сребърен,дизелов,272.0,джип,велико търново,https://www.mobile.bg/obiava-21719004553428190-mercedes-benz-gle-350-silver-star,0
mercedes-benz gle 350 d coupe 4matic amg line,113999,2021,124379,черен,дизелов,272.0,купе,софия,https://www.mobile.bg/obiava-21734715731843601-mercedes-benz-gle-350-d-coupe-4matic-amg-line,1
mercedes-benz gle 350 e/coupe/4matic/burmester/ambient/virtual,119900,2022,92500,бял,plug-in хибрид,333.0,купе,софия,https://www.mobile.bg/obiava-21738230010203470-mercedes-benz-gle-350-e-coupe-4matic-burmester-ambient-virtual,0
mercedes-benz gle 350 de#facelift2024#amg#airmat#обдух#pano,189999,2024,4000,тъмно сив,plug-in хибрид,320.0,джип,стара загора,https://www.mobile.bg/obiava-21723123315787780-mercedes-benz-gle-350-de-facelift2024-amg-airmat-obduh-pano,1
mercedes-benz gle 400 amg 9g 4matic 333кс night package,63900,2018,53000,светло сив,бензинов,333.0,джип,плевен,https://www.mobile.bg/obiava-21729770301789064-mercedes-benz-gle-400-amg-9g-4matic-333ks-night-package,1
mercedes-benz gle 400 d amg 330hp пано нави дистроник 360',89990,2020,161232,светло сив,дизелов,330.0,джип,перник,https://www.mobile.bg/obiava-21737728528599391-mercedes-benz-gle-400-d-amg-330hp-pano-navi-distronik-360-39,1
mercedes-benz gle 400 airmatic* 2xamg* 360* burmester*,103900,2020,89700,черен,дизелов,330.0,джип,софия,https://www.mobile.bg/obiava-21739023823477751-mercedes-benz-gle-400-airmatic-2xamg-360-burmester,1
mercedes-benz gle 400 4matic amg 53 пакет + active sound,125000,2022,97500,тъмно сив,дизелов,330.0,джип,шумен,https://www.mobile.bg/obiava-21739895801168092-mercedes-benz-gle-400-4matic-amg-53-paket-active-sound,1
mercedes-benz gle 400 amg/hud/burmester/6+ 1/ambient,109900,2019,114000,кафяв,дизелов,330.0,джип,софия,https://www.mobile.bg/obiava-21739778720862663-mercedes-benz-gle-400-amg-hud-burmester-6-1-ambient,1
mercedes-benz gle 400 amg/hud/burmester/6+ 1/ambient,109900,2019,114000,кафяв,дизелов,330.0,джип,варна,https://www.mobile.bg/obiava-21740299103251430-mercedes-benz-gle-400-amg-hud-burmester-6-1-ambient,1
mercedes-benz gle 400 amg night топ състояние,134500,2022,124000,черен,дизелов,340.0,джип,пловдив,https://www.mobile.bg/obiava-21735021229619582-mercedes-benz-gle-400-amg-night-top-sastoyanie,1
mercedes-benz gle 400,135000,2020,96544,тъмно сив,дизелов,330.0,джип,софия,https://www.mobile.bg/obiava-21720620496264107-mercedes-benz-gle-400,0
mercedes-benz gle 400 #brabus#e-abc#pano#designo#softcl#burm#обдух#360*,139999,2020,98000,черен,дизелов,330.0,джип,стара загора,https://www.mobile.bg/obiava-21716200453001812-mercedes-benz-gle-400-brabus-e-abc-pano-designo-softcl-burm-obduh-360,0
mercedes-benz gle 43 amg coupe 43 amg/133911км,72500,2017,130000,черен,бензинов,367.0,купе,софия,https://www.mobile.bg/obiava-21734364978658719-mercedes-benz-gle-43-amg-coupe-43-amg-133911km,1
mercedes-benz gle 43 amg 4matic/9g/pano/360cam/distr+ /390кс/132000km,74000,2017,132900,черен,бензинов,390.0,купе,софия,https://www.mobile.bg/obiava-21740184310323194-mercedes-benz-gle-43-amg-4matic-9g-pano-360cam-distr-390ks-132000km,1
mercedes-benz gle 43 amg mercedes gle43 amg* b&o* cam360* panorama* distron,76699,2018,175000,черен,бензинов,400.0,джип,софия,https://www.mobile.bg/obiava-21736682638893734-mercedes-benz-gle-43-amg-mercedes-gle43-amg-b-o-cam360-panorama-distron,1
mercedes-benz gle 43 amg 3.0 v6 biturbo,94800,2017,102000,черен,бензинов,390.0,джип,пловдив,https://www.mobile.bg/obiava-21739706251297893-mercedes-benz-gle-43-amg-3-0-v6-biturbo,1
mercedes-benz gle 450 6+ 1 пълна история,99000,2021,111000,бял,бензинов,367.0,джип,варна,https://www.mobile.bg/obiava-11737537468347051-mercedes-benz-gle-450-6-1-palna-istoriya,0
mercedes-benz gle 450 4m* distr* hud* pano* burmester 24хил км!,125999,2020,23803,бял,хибриден,370.0,джип,русе,https://www.mobile.bg/obiava-11738874031240556-mercedes-benz-gle-450-4m-distr-hud-pano-burmester-24hil-km,0
mercedes-benz gle 500 -amg-full-panorama-keyless-cam360-distronic-,53700,2016,82000,черен,бензинов,455.0,джип,пловдив,https://www.mobile.bg/obiava-21736365782085313-mercedes-benz-gle-500-amg-full-panorama-keyless-cam360-distronic,1
mercedes-benz gle 500 e amg 4matic plug-in hybrid full  лизинг/бартер,59800,2016,201000,черен,plug-in хибрид,333.0,джип,дупница,https://www.mobile.bg/obiava-21702119555212002-mercedes-benz-gle-500-e-amg-4matic-plug-in-hybrid-full-lizing-barter,1
mercedes-benz gle 500 очакван внос mercedes gle500 amg coupe,73699,2018,179000,черен,бензинов,455.0,купе,софия,https://www.mobile.bg/obiava-21737995114323299-mercedes-benz-gle-500-ochakvan-vnos-mercedes-gle500-amg-coupe,1
mercedes-benz gle 53 4matic amg 360 burmester panorama head up собствен лизинг,109900,2020,175000,зелен,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21737217632331014-mercedes-benz-gle-53-4matic-amg-360-burmester-panorama-head-up-sobstven-lizing,1
mercedes-benz gle 53 4matic amg 2021,119000,2021,88300,син,бензинов,429.0,джип,софия,https://www.mobile.bg/obiava-21739476777940651-mercedes-benz-gle-53-4matic-amg-2021,1
mercedes-benz gle 53 4matic + amg eq boost exclusive,129900,2020,156567,черен,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21732702213744268-mercedes-benz-gle-53-4matic-amg-eq-boost-exclusive,1
mercedes-benz gle 53 4matic amg coupe eq boost exclusive night package,144999,2020,109581,сив,бензинов,435.0,купе,софия,https://www.mobile.bg/obiava-21737987403756912-mercedes-benz-gle-53-4matic-amg-coupe-eq-boost-exclusive-night-package,1
mercedes-benz gle 53 4matic amg,121900,2020,63000,черен,бензинов,435.0,джип,пловдив,https://www.mobile.bg/obiava-21732043925286376-mercedes-benz-gle-53-4matic-amg,1
mercedes-benz gle 53 4matic + coupe- panorama - burmester - cam360 - keyless-,157700,2022,49000,черен,бензинов,435.0,купе,пловдив,https://www.mobile.bg/obiava-21734120312199939-mercedes-benz-gle-53-4matic-coupe-panorama-burmester-cam360-keyless,0
mercedes-benz gle 53 4matic,177000,2021,77551,черен,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21738489920321880-mercedes-benz-gle-53-4matic,0
mercedes-benz gle 53 4matic amg/burmester/hud/pano/обдухване/multibeam led/360,149900,2020,94000,черен,бензинов,457.0,купе,варна,https://www.mobile.bg/obiava-21740426999771864-mercedes-benz-gle-53-4matic-amg-burmester-hud-pano-obduhvane-multibeam-led-360,1
mercedes-benz gle 53 4matic coupe night-paket,189500,2022,41707,черен,бензинов,429.0,купе,софия,https://www.mobile.bg/obiava-21739352091672923-mercedes-benz-gle-53-4matic-coupe-night-paket,0
mercedes-benz gle 63 s amg дистроник#панорама#обдухване,85000,2015,188000,черен,бензинов,585.0,джип,стара загора,https://www.mobile.bg/obiava-21729068751032648-mercedes-benz-gle-63-s-amg-distronik-panorama-obduhvane,1
mercedes-benz gle 63 s amg 585 k.c.,87000,2017,95500,бял,бензинов,585.0,джип,софия,https://www.mobile.bg/obiava-21723139039108590-mercedes-benz-gle-63-s-amg-585-k-c,1
mercedes-benz gle 63 s amg * stage 2* 700кс,94999,2016,175698,бял,бензинов,585.0,джип,хасково,https://www.mobile.bg/obiava-21731698898183607-mercedes-benz-gle-63-s-amg-stage-2-700ks,1
mercedes-benz gle 63 s amg 4matic coupe - фолиран,99800,2017,115000,черен,бензинов,585.0,купе,софия,https://www.mobile.bg/obiava-21736335609990714-mercedes-benz-gle-63-s-amg-4matic-coupe-foliran,1
mercedes-benz gle 63 s amg 4matic/bang&olufsen/обдухване/камера/side assist,99800,2015,132500,бял,бензинов,585.0,джип,софия,https://www.mobile.bg/obiava-21739389402544670-mercedes-benz-gle-63-s-amg-4matic-bang-olufsen-obduhvane-kamera-side-assist,1
mercedes-benz gle 63 s amg distr#обдух#pano#360* cam#гаранция до 03-2027,209999,2023,8500,тъмно сив,бензинов,513.0,джип,стара загора,https://www.mobile.bg/obiava-21702717718445712-mercedes-benz-gle-63-s-amg-distr-obduh-pano-360-cam-garantsiya-do-03-2027,1
mercedes-benz gle coupe full max 9g tronik,65000,2017,158000,черен,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21736371694899794-mercedes-benz-gle-coupe-full-max-9g-tronik,0
mercedes-benz gle coupe kupe amg optica/start stop/edition/собствен лизинг,67000,2018,178521,черен,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21740475360816642-mercedes-benz-gle-coupe-kupe-amg-optica-start-stop-edition-sobstven-lizing,1
mercedes-benz gle coupe kupe amg optica/start stop/edition/собствен лизинг,69000,2017,179545,черен,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21734100333591416-mercedes-benz-gle-coupe-kupe-amg-optica-start-stop-edition-sobstven-lizing,1
mercedes-benz gle coupe 350d-amg line-9g-tronic-harmon kardon,69999,2017,189000,бял,дизелов,258.0,купе,пазарджик,https://www.mobile.bg/obiava-21732691284643930-mercedes-benz-gle-coupe-350d-amg-line-9g-tronic-harmon-kardon,1
mercedes-benz gle coupe 350d#9g-tronic#amg#360* camera#h&k#,69999,2016,178000,бял,дизелов,258.0,купе,стара загора,https://www.mobile.bg/obiava-21724732876868661-mercedes-benz-gle-coupe-350d-9g-tronic-amg-360-camera-h-k,1
mercedes-benz gle coupe amg full max,71999,2017,174000,черен,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21740334888998314-mercedes-benz-gle-coupe-amg-full-max,1
mercedes-benz gle coupe 350d#amg#panorama#soft-close#camera#carbon#h&k,72999,2017,160400,тъмно сив,дизелов,258.0,купе,стара загора,https://www.mobile.bg/obiava-21737139761380025-mercedes-benz-gle-coupe-350d-amg-panorama-soft-close-camera-carbon-h-k,1
mercedes-benz gle coupe designo#b&o#softcl#3xtv#panorama#обдух#keyless,77999,2017,176000,бял,дизелов,258.0,купе,стара загора,https://www.mobile.bg/obiava-21727448317097147-mercedes-benz-gle-coupe-designo-b-o-softcl-3xtv-panorama-obduh-keyless,0
mercedes-benz gle coupe,78900,2018,237000,бял,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21739589802555531-mercedes-benz-gle-coupe,0
mercedes-benz gle coupe #amg#panorama#keyless#h&k#360* camera#98tkm,86999,2017,98000,бял,дизелов,258.0,купе,стара загора,https://www.mobile.bg/obiava-21735967638973254-mercedes-benz-gle-coupe-amg-panorama-keyless-h-k-360-camera-98tkm,1
mercedes-benz gle coupe 350d 4matic amg line,113999,2021,124379,черен,дизелов,272.0,купе,софия,https://www.mobile.bg/obiava-21734716014484606-mercedes-benz-gle-coupe-350d-4matic-amg-line,1
mercedes-benz gle 350d amg,73500,2016,159000,бял,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21740327180651146-mercedes-benz-gle-350d-amg,1
mercedes-benz gle 350,83800,2016,187000,черен,дизелов,265.0,джип,пловдив,https://www.mobile.bg/obiava-21703104114936113-mercedes-benz-gle-350,0
mercedes-benz gle 350,87900,2016,190000,сив,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21703105373565024-mercedes-benz-gle-350,0
mercedes-benz gle amg/4matic/300d/burmester/88000km/2020г.,95000,2020,88000,зелен,дизелов,245.0,джип,софия,https://www.mobile.bg/obiava-21740395683326176-mercedes-benz-gle-amg-4matic-300d-burmester-88000km-2020g,1
"mercedes-benz gle 350d, coupe, amg-56000км-pano, key-go, dist, night",139990,2021,56000,черен,дизелов,272.0,купе,пловдив,https://www.mobile.bg/obiava-21737386973060501-mercedes-benz-gle-350d-coupe-amg-56000km-pano-key-go-dist-night,1
mercedes-benz gle 400d amg line,155780,2022,35500,бял,дизелов,330.0,джип,стара загора,https://www.mobile.bg/obiava-21740574001246497-mercedes-benz-gle-400d-amg-line,1
mercedes-benz gle 250 cdi топ цена,33999,2017,210000,черен,дизелов,204.0,джип,пловдив,https://www.mobile.bg/obiava-21740651675688554-mercedes-benz-gle-250-cdi-top-tsena,0
mercedes-benz gle 250 d* 9g-tronik* 360 cam*,42800,2016,135000,тъмно сив,дизелов,204.0,джип,дупница,https://www.mobile.bg/obiava-21683188499751949-mercedes-benz-gle-250-d-9g-tronik-360-cam,0
mercedes-benz gle 250 4-matic.amg line,49999,2016,165000,черен,дизелов,204.0,джип,софия,https://www.mobile.bg/obiava-21728394066812096-mercedes-benz-gle-250-4-matic-amg-line,1
mercedes-benz gle 250 4matic premium plus,51940,2019,201731,тъмно сив,дизелов,204.0,джип,кюстендил,https://www.mobile.bg/obiava-21740312214286368-mercedes-benz-gle-250-4matic-premium-plus,0
mercedes-benz gle 250 9g/4matik/panorama/led,52988,2018,161235,черен,дизелов,204.0,джип,стара загора,https://www.mobile.bg/obiava-21704644126420550-mercedes-benz-gle-250-9g-4matik-panorama-led,0
mercedes-benz gle 250 d  204ps sport 9g * перфектен*,57900,2018,177058,бял,дизелов,204.0,джип,сливен,https://www.mobile.bg/obiava-21662452798638543-mercedes-benz-gle-250-d-204ps-sport-9g-perfekten,0
mercedes-benz gle 350 d amg pack 9g tronik,47500,2016,175000,черен,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21739183950679831-mercedes-benz-gle-350-d-amg-pack-9g-tronik,1
mercedes-benz gle 350 d 4 matic,48500,2016,197038,бял,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21732716625468138-mercedes-benz-gle-350-d-4-matic,0
mercedes-benz gle 350 3.5cdi* 258* k.c-4motion* kamera navi*,48777,2015,217000,бял,дизелов,258.0,джип,стара загора,https://www.mobile.bg/obiava-21732629851715994-mercedes-benz-gle-350-3-5cdi-258-k-c-4motion-kamera-navi,0
mercedes-benz gle 350 9g/harman kardon/панорама/подгрев/360,49999,2017,210000,бял,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21740254626496544-mercedes-benz-gle-350-9g-harman-kardon-panorama-podgrev-360,0
mercedes-benz gle 350 реални км!!!,51999,2016,160000,черен,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21740572693343084-mercedes-benz-gle-350-realni-km,0
mercedes-benz gle 350 amg/distronic/360camera/softclose/4matic/,52900,2016,207759,черен,дизелов,258.0,джип,пазарджик,https://www.mobile.bg/obiava-21735493753488220-mercedes-benz-gle-350-amg-distronic-360camera-softclose-4matic,1
mercedes-benz gle 350 bluetec amg line ! 4matic ! swiss !,52900,2016,199500,сив,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21733411987760363-mercedes-benz-gle-350-bluetec-amg-line-4matic-swiss,1
mercedes-benz gle 350 бартер* amg* панорама* distronik,56900,2016,199000,бял,дизелов,258.0,купе,русе,https://www.mobile.bg/obiava-21726900999147649-mercedes-benz-gle-350-barter-amg-panorama-distronik,1
mercedes-benz gle 350 amg панорама distronic 360 камери airmatic,57000,2017,150600,сив,дизелов,258.0,джип,сливен,https://www.mobile.bg/obiava-21736001589739384-mercedes-benz-gle-350-amg-panorama-distronic-360-kameri-airmatic,1
mercedes-benz gle 350 4 matic,57900,2016,243000,червен,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21725887089947076-mercedes-benz-gle-350-4-matic,0
mercedes-benz gle 350 amg 4matic 9g tronic premuim,58499,2018,218500,черен,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21740579085639040-mercedes-benz-gle-350-amg-4matic-9g-tronic-premuim,1
mercedes-benz gle 350,58500,2015,56000,бял,бензинов,306.0,джип,смолян,https://www.mobile.bg/obiava-21733329813000280-mercedes-benz-gle-350,0
mercedes-benz gle 350 amg 258hp e6,59990,2015,185318,черен,дизелов,258.0,джип,перник,https://www.mobile.bg/obiava-21723556958017760-mercedes-benz-gle-350-amg-258hp-e6,1
mercedes-benz gle 350 amg package немска! регистриран!,59999,2016,185500,бял,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21739376104183694-mercedes-benz-gle-350-amg-package-nemska-registriran,1
mercedes-benz gle 350 cdi amg-paket панорама 360 4-matic,59999,2019,176393,бял,дизелов,258.0,джип,хасково,https://www.mobile.bg/obiava-21740494188240909-mercedes-benz-gle-350-cdi-amg-paket-panorama-360-4-matic,1
mercedes-benz gle 350 coupe,63000,2016,284000,черен,дизелов,245.0,купе,софия,https://www.mobile.bg/obiava-21740246256116129-mercedes-benz-gle-350-coupe,0
mercedes-benz gle 350  gle 350d v6 (258 кс) 4matic 9g-tronic,63000,2016,183110,син,дизелов,258.0,джип,бургас,https://www.mobile.bg/obiava-21740254183625234-mercedes-benz-gle-350-gle-350d-v6-258-ks-4matic-9g-tronic,0
mercedes-benz gle 350 очакван внос gle350d coupe amg-night pano cam-360,63880,2015,240000,бял,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21739955104180675-mercedes-benz-gle-350-ochakvan-vnos-gle350d-coupe-amg-night-pano-cam-360,1
mercedes-benz gle 350 лизинг,64999,2015,188000,черен,дизелов,258.0,джип,благоевград,https://www.mobile.bg/obiava-21732703587107371-mercedes-benz-gle-350-lizing,0
mercedes-benz gle 350 amg пакет,65000,2017,253000,тъмно сив,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21732627656152704-mercedes-benz-gle-350-amg-paket,1
mercedes-benz gle 350 d coupe 6.3 amg optic 9g pano 360 h/k key go,66900,2017,167000,тъмно сив,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21740042040677152-mercedes-benz-gle-350-d-coupe-6-3-amg-optic-9g-pano-360-h-k-key-go,1
mercedes-benz gle 350 ///amg packet///360///вакуум///pano///navi///dvd//,68990,2016,203000,червен,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21717016800298773-mercedes-benz-gle-350-amg-packet-360-vakuum-pano-navi-dvd,1
mercedes-benz gle 350 amg* 360* harman/kardon* full*,68990,2016,238422,бял,дизелов,258.0,купе,пловдив,https://www.mobile.bg/obiava-21739884065154174-mercedes-benz-gle-350-amg-360-harman-kardon-full,1
mercedes-benz gle 350 amg* 360* harman/kardon* full*,68990,2016,238422,бял,дизелов,258.0,джип,пловдив,https://www.mobile.bg/obiava-21739884243009639-mercedes-benz-gle-350-amg-360-harman-kardon-full,1
mercedes-benz gle 350 4-matic* 9g* camera* distronic* печка,69000,2016,230000,светло сив,дизелов,258.0,джип,русе,https://www.mobile.bg/obiava-21726649219946834-mercedes-benz-gle-350-4-matic-9g-camera-distronic-pechka,0
mercedes-benz gle 350 amg/designo/distronic/360 kameri,69699,2017,164000,син,дизелов,258.0,джип,софия,https://www.mobile.bg/obiava-21718044625923735-mercedes-benz-gle-350-amg-designo-distronic-360-kameri,1
mercedes-benz gle 350 amg line* coupe* 4-matic* 9g-tronic* лизинг,69900,2017,180879,бял,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21738678898339765-mercedes-benz-gle-350-amg-line-coupe-4-matic-9g-tronic-lizing,1
mercedes-benz gle 350 coupe-amg-panorama-360 kamera,69900,2018,123000,черен,дизелов,258.0,купе,плевен,https://www.mobile.bg/obiava-21739786153705308-mercedes-benz-gle-350-coupe-amg-panorama-360-kamera,1
mercedes-benz gle 350 amg,69999,2016,179000,черен,дизелов,258.0,джип,варна,https://www.mobile.bg/obiava-21737961491276425-mercedes-benz-gle-350-amg,1
mercedes-benz gle 350 cdi/sport/камера360/обдухване/airmatic/coupe,71900,2017,215500,черен,дизелов,258.0,купе,варна,https://www.mobile.bg/obiava-21727009144659309-mercedes-benz-gle-350-cdi-sport-kamera360-obduhvane-airmatic-coupe,0
mercedes-benz gle 350 d coupe 4m amg* nightp* подгрев* distr,71900,2017,113000,черен,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21740486995791596-mercedes-benz-gle-350-d-coupe-4m-amg-nightp-podgrev-distr,1
mercedes-benz gle 350 cdi/sport/камера360/обдухване/airmatic/coupe,71900,2017,215500,черен,дизелов,258.0,купе,софия,https://www.mobile.bg/obiava-21727006929989341-mercedes-benz-gle-350-cdi-sport-kamera360-obduhvane-airmatic-coupe,0
